"","ID1","ID2","realHWI","quantile975","affiliation975","medianHWI","meanHWI","HRO","relatedness","kintype","parent_offspring","agediff","yrsoverlap","adult_yrsoverlap","joint_sightings"
"1","ID001","ID002",0,0.0244054879,FALSE,0,0.000831014012253004,0.071058604773367,0,"unrelated","N",4,12,8,67
"3","ID002","ID001",0,0.0244054879,FALSE,0,0.000831014012253004,0.071058604773367,0,"unrelated","N",4,12,8,67
"5","ID004","ID001",0,0.076923077,FALSE,0,0.0193164486956824,0.681698645703542,0,"unrelated","N",10,4,NA,60
"7","ID001","ID004",0,0.076923077,FALSE,0,0.0193164486956824,0.681698645703542,0,"unrelated","N",10,4,NA,60
"9","ID001","ID008",0,0.051612903,FALSE,0.0136986301369863,0.0186570004668139,0.701738114558236,0,"unrelated","N",4,12,8,166
"11","ID008","ID001",0,0.051612903,FALSE,0.0136986301369863,0.0186570004668139,0.701738114558236,0,"unrelated","N",4,12,8,166
"13","ID001","ID012",0,0.04494382,FALSE,0,0.00892484520629216,0.424771999543902,0.01,"unrelated","N",29,10,5,70
"15","ID012","ID001",0,0.04494382,FALSE,0,0.00892484520629216,0.424771999543902,0.01,"unrelated","N",29,10,5,70
"17","ID013","ID001",0,0.053351351025,FALSE,0,0.0141312933876254,0.789666171659381,0,"unrelated","N",11,12,8,67
"19","ID001","ID013",0,0.053351351025,FALSE,0,0.0141312933876254,0.789666171659381,0,"unrelated","N",11,12,8,67
"21","ID014","ID001",0,0.0277875589,FALSE,0,0.00474175025332894,0.370287626812074,0,"unrelated","N",14,12,8,56
"23","ID001","ID014",0,0.0277875589,FALSE,0,0.00474175025332894,0.370287626812074,0,"unrelated","N",14,12,8,56
"25","ID001","ID015",0,0.025974026,FALSE,0,0.00137224719532447,0.101454914864489,0,"unrelated","N",3,12,8,75
"27","ID015","ID001",0,0.025974026,FALSE,0,0.00137224719532447,0.101454914864489,0,"unrelated","N",3,12,8,75
"29","ID018","ID001",0.0888888888888889,0.057142857,TRUE,0.0173913043478261,0.0175947100905187,0.873440974081876,0.0342,"unrelated","N",0,12,8,82
"31","ID001","ID018",0.0888888888888889,0.057142857,TRUE,0.0173913043478261,0.0175947100905187,0.873440974081876,0.0342,"unrelated","N",0,12,8,82
"33","ID020","ID001",0.00727272727272727,0.0446580073,FALSE,0.0180995475113122,0.016587325368639,0.391169729936189,0,"unrelated","N",9,12,8,269
"35","ID001","ID020",0.00727272727272727,0.0446580073,FALSE,0.0180995475113122,0.016587325368639,0.391169729936189,0,"unrelated","N",9,12,8,269
"37","ID021","ID001",0,0.040816327,FALSE,0,0.00971737482383975,0.446296641809546,0,"unrelated","N",1,12,8,90
"39","ID001","ID021",0,0.040816327,FALSE,0,0.00971737482383975,0.446296641809546,0,"unrelated","N",1,12,8,90
"41","ID022","ID001",0,0.0571848738,FALSE,0,0.0134571761575978,0.749550801678108,0,"unrelated","N",19,12,8,65
"43","ID001","ID022",0,0.0571848738,FALSE,0,0.0134571761575978,0.749550801678108,0,"unrelated","N",19,12,8,65
"45","ID027","ID001",0,0.053583494625,FALSE,0.017021584818195,0.0140290405551897,0.821884087968167,0.0025,"unrelated","N",31,12,8,103
"47","ID001","ID027",0,0.053583494625,FALSE,0.017021584818195,0.0140290405551897,0.821884087968167,0.0025,"unrelated","N",31,12,8,103
"49","ID029","ID001",0,0.045112782,FALSE,0.013986013986014,0.0123042166270059,0.379237787956309,0,"unrelated","N",2,12,8,145
"51","ID001","ID029",0,0.045112782,FALSE,0.013986013986014,0.0123042166270059,0.379237787956309,0,"unrelated","N",2,12,8,145
"53","ID001","ID030",0,0.029411765,FALSE,0,0.00124634664932001,0.14799792092078,0,"unrelated","N",19,11,7,49
"55","ID030","ID001",0,0.029411765,FALSE,0,0.00124634664932001,0.14799792092078,0,"unrelated","N",19,11,7,49
"57","ID031","ID001",0,0.05455168165,FALSE,0,0.0138993334373466,0.410602875103029,0,"unrelated","N",9,5,NA,70
"59","ID001","ID031",0,0.05455168165,FALSE,0,0.0138993334373466,0.410602875103029,0,"unrelated","N",9,5,NA,70
"61","ID001","ID034",0,0.040020408175,FALSE,0,0.00513864923301713,0.360987849960742,0,"unrelated","N",2,12,8,63
"63","ID034","ID001",0,0.040020408175,FALSE,0,0.00513864923301713,0.360987849960742,0,"unrelated","N",2,12,8,63
"65","ID001","ID035",0,0.038834951,FALSE,0,0.00697909733261404,0.403562134899601,0.0051,"unrelated","N",4,12,8,82
"67","ID035","ID001",0,0.038834951,FALSE,0,0.00697909733261404,0.403562134899601,0.0051,"unrelated","N",4,12,8,82
"69","ID001","ID036",0.0909090909090909,0.053583494625,TRUE,0.0176991150442478,0.0153881264400535,0.91713817276575,0.0924,"distant","N",1,12,7,61
"71","ID036","ID001",0.0909090909090909,0.053583494625,TRUE,0.0176991150442478,0.0153881264400535,0.91713817276575,0.0924,"distant","N",1,12,7,61
"73","ID037","ID001",0,0.032786885,FALSE,0,0.00250005969116899,0.185081570281089,0.0234,"unrelated","N",3,10,5,49
"75","ID001","ID037",0,0.032786885,FALSE,0,0.00250005969116899,0.185081570281089,0.0234,"unrelated","N",3,10,5,49
"77","ID038","ID001",0,0.029850746,FALSE,0,0.00338306780692185,0.331640821688137,0.0178,"unrelated","N",20,10,5,65
"79","ID001","ID038",0,0.029850746,FALSE,0,0.00338306780692185,0.331640821688137,0.0178,"unrelated","N",20,10,5,65
"81","ID041","ID001",0,0.0312624008,FALSE,0,0.0054217718371667,0.371185925932037,0,"unrelated","N",22,12,8,82
"83","ID001","ID041",0,0.0312624008,FALSE,0,0.0054217718371667,0.371185925932037,0,"unrelated","N",22,12,8,82
"85","ID001","ID042",0,0.0667241382499999,FALSE,0,0.0167582873713366,0.814545537004016,0.0317,"unrelated","N",25,12,8,61
"87","ID042","ID001",0,0.0667241382499999,FALSE,0,0.0167582873713366,0.814545537004016,0.0317,"unrelated","N",25,12,8,61
"89","ID001","ID044",0,0,FALSE,0,0.000238674560733384,0.075558608960411,0,"unrelated","N",6,7,NA,49
"91","ID044","ID001",0,0,FALSE,0,0.000238674560733384,0.075558608960411,0,"unrelated","N",6,7,NA,49
"93","ID001","ID045",0,0.0334345791249999,FALSE,0,0.00556400280866759,0.527183667775196,3e-04,"unrelated","N",4,12,8,52
"95","ID045","ID001",0,0.0334345791249999,FALSE,0,0.00556400280866759,0.527183667775196,3e-04,"unrelated","N",4,12,8,52
"97","ID001","ID046",0.0377358490566038,0.068965517,FALSE,0,0.0140910826454893,0.789564194906506,0.0162,"unrelated","N",17,9,4,49
"99","ID046","ID001",0.0377358490566038,0.068965517,FALSE,0,0.0140910826454893,0.789564194906506,0.0162,"unrelated","N",17,9,4,49
"101","ID049","ID001",0,0.054054054,FALSE,0.0163934426229508,0.0157920832689326,0.823843602515843,0.0217,"unrelated","N",1,12,8,139
"103","ID001","ID049",0,0.054054054,FALSE,0.0163934426229508,0.0157920832689326,0.823843602515843,0.0217,"unrelated","N",1,12,8,139
"105","ID050","ID001",0,0.038834951,FALSE,0,0.00738432027292363,0.352528600958329,0.0142,"unrelated","N",1,12,7,52
"107","ID001","ID050",0,0.038834951,FALSE,0,0.00738432027292363,0.352528600958329,0.0142,"unrelated","N",1,12,7,52
"109","ID051","ID001",0,0.038470873325,FALSE,0,0.0109156966463429,0.428856535285629,0,"unrelated","N",12,12,8,87
"111","ID001","ID051",0,0.038470873325,FALSE,0,0.0109156966463429,0.428856535285629,0,"unrelated","N",12,12,8,87
"113","ID001","ID052",0,0.041666667,FALSE,0,0.00804180215743796,0.509758715231123,0,"unrelated","N",7,12,8,74
"115","ID052","ID001",0,0.041666667,FALSE,0,0.00804180215743796,0.509758715231123,0,"unrelated","N",7,12,8,74
"117","ID001","ID053",0,0.0556159424499999,FALSE,0,0.0133876492585508,0.777766050405729,0,"unrelated","N",1,12,8,75
"119","ID053","ID001",0,0.0556159424499999,FALSE,0,0.0133876492585508,0.777766050405729,0,"unrelated","N",1,12,8,75
"121","ID054","ID001",0,0.046511628,FALSE,0,0.00719681586735324,0.461947140422813,0.0027,"unrelated","N",15,12,8,71
"123","ID001","ID054",0,0.046511628,FALSE,0,0.00719681586735324,0.461947140422813,0.0027,"unrelated","N",15,12,8,71
"125","ID055","ID001",0,0.056338028,FALSE,0,0.0093212867536629,0.626356036532045,0.003,"unrelated","N",12,12,8,52
"127","ID001","ID055",0,0.056338028,FALSE,0,0.0093212867536629,0.626356036532045,0.003,"unrelated","N",12,12,8,52
"129","ID001","ID056",0,0,FALSE,0,0.000590644326417899,0.107048732337076,0,"unrelated","N",5,12,8,50
"131","ID056","ID001",0,0,FALSE,0,0.000590644326417899,0.107048732337076,0,"unrelated","N",5,12,8,50
"133","ID001","ID057",0,0.0674348822,FALSE,0.019047619047619,0.0168826705138908,0.833935761381429,0.0057,"unrelated","N",15,10,5,105
"135","ID057","ID001",0,0.0674348822,FALSE,0.019047619047619,0.0168826705138908,0.833935761381429,0.0057,"unrelated","N",15,10,5,105
"137","ID001","ID058",0,0.04256463005,FALSE,0,0.00843492166494079,0.464282557397224,0.0679,"distant","N",4,12,8,83
"139","ID058","ID001",0,0.04256463005,FALSE,0,0.00843492166494079,0.464282557397224,0.0679,"distant","N",4,12,8,83
"141","ID001","ID059",0.0481927710843374,0.0667441863749999,FALSE,0.0209429824561404,0.0188692260957837,0.53876461882188,0,"unrelated","N",10,4,NA,77
"143","ID059","ID001",0.0481927710843374,0.0667441863749999,FALSE,0.0209429824561404,0.0188692260957837,0.53876461882188,0,"unrelated","N",10,4,NA,77
"145","ID061","ID001",0,0.045454545,FALSE,0,0.00968432046626419,0.416060709832703,0.0015,"unrelated","N",5,9,3,79
"147","ID001","ID061",0,0.045454545,FALSE,0,0.00968432046626419,0.416060709832703,0.0015,"unrelated","N",5,9,3,79
"149","ID001","ID062",0,0.047058824,FALSE,0,0.0119692763939863,0.479638180587451,0.003,"unrelated","N",8,7,NA,100
"151","ID062","ID001",0,0.047058824,FALSE,0,0.0119692763939863,0.479638180587451,0.003,"unrelated","N",8,7,NA,100
"153","ID001","ID063",0,0.0437279232,FALSE,0.0112994350282486,0.0161561446445079,0.390227715986854,0.0285,"unrelated","N",25,12,7,242
