"ID1","ID2","HRO","relatedness","kintype","parent_offspring","agediff","yrsoverlap","adult_yrsoverlap","joint_sightings"
"ID083","ID089",0.0554262475578311,0,"unrelated","N",13,13,8,56
"ID089","ID083",0.0554262475578311,0,"unrelated","N",13,13,8,56
"ID083","ID140",0.0229852207389824,0,"unrelated","N",5,9,4,44
"ID140","ID083",0.0229852207389824,0,"unrelated","N",5,9,4,44
"ID083","ID100",0.159075390194862,0.0034,"unrelated","N",15,13,8,68
"ID100","ID083",0.159075390194862,0.0034,"unrelated","N",15,13,8,68
"ID149","ID083",0.0243260863201691,0,"unrelated","N",8,6,NA,58
"ID083","ID149",0.0243260863201691,0,"unrelated","N",8,6,NA,58
"ID086","ID083",0.16736670442315,0,"unrelated","N",2,13,6,106
"ID083","ID086",0.16736670442315,0,"unrelated","N",2,13,6,106
"ID146","ID083",0.0218010029363896,0,"unrelated","N",16,13,8,67
"ID083","ID146",0.0218010029363896,0,"unrelated","N",16,13,8,67
"ID083","ID157",0.051078212090383,NA,"no data","N",13,13,8,44
"ID157","ID083",0.051078212090383,NA,"no data","N",13,13,8,44
"ID083","ID022",0.0199134330671662,0.0315,"unrelated","N",19,13,8,71
"ID022","ID083",0.0199134330671662,0.0315,"unrelated","N",19,13,8,71
"ID083","ID097",0.450730824233833,0.0015,"unrelated","N",29,9,4,41
"ID097","ID083",0.450730824233833,0.0015,"unrelated","N",29,9,4,41
"ID083","ID027",0.19456412773791,0,"unrelated","N",31,13,8,111
"ID027","ID083",0.19456412773791,0,"unrelated","N",31,13,8,111
"ID083","ID108",0.872861755473644,0.0396,"distant","N",5,13,8,62
"ID108","ID083",0.872861755473644,0.0396,"distant","N",5,13,8,62
"ID059","ID083",0.101048100800321,0.0035,"unrelated","N",10,5,NA,86
"ID083","ID059",0.101048100800321,0.0035,"unrelated","N",10,5,NA,86
"ID021","ID083",0.210185703002063,0.0063,"unrelated","N",1,12,8,91
"ID083","ID021",0.210185703002063,0.0063,"unrelated","N",1,12,8,91
"ID078","ID083",0.550555506655409,0.0662,"distant","N",20,13,8,70
"ID083","ID078",0.550555506655409,0.0662,"distant","N",20,13,8,70
"ID074","ID083",0.092711027568862,0.04,"distant","N",24,13,8,53
"ID083","ID074",0.092711027568862,0.04,"distant","N",24,13,8,53
"ID087","ID083",0.070030784358936,0,"unrelated","N",3,12,8,210
"ID083","ID087",0.070030784358936,0,"unrelated","N",3,12,8,210
"ID083","ID023",0.0564001133132466,NA,"no data","N",1,10,5,41
"ID023","ID083",0.0564001133132466,NA,"no data","N",1,10,5,41
"ID083","ID073",0.316124620209384,0,"unrelated","N",29,13,8,129
"ID073","ID083",0.316124620209384,0,"unrelated","N",29,13,8,129
"ID083","ID025",0.0993093552154012,NA,"no data","N",5,11,7,47
"ID025","ID083",0.0993093552154012,NA,"no data","N",5,11,7,47
"ID069","ID083",0.528880780815498,0.0122,"unrelated","N",10,3,NA,21
"ID083","ID069",0.528880780815498,0.0122,"unrelated","N",10,3,NA,21
"ID083","ID065",0.30209286841202,0.0128,"unrelated","N",6,8,NA,49
"ID065","ID083",0.30209286841202,0.0128,"unrelated","N",6,8,NA,49
"ID083","ID040",0.721175021988083,0,"unrelated","N",2,9,5,38
"ID040","ID083",0.721175021988083,0,"unrelated","N",2,9,5,38
"ID083","ID090",0.477775589230605,NA,"no data","N",4,12,8,61
"ID090","ID083",0.477775589230605,NA,"no data","N",4,12,8,61
"ID131","ID083",0.629863188924349,0.0161,"unrelated","N",8,13,8,40
"ID083","ID131",0.629863188924349,0.0161,"unrelated","N",8,13,8,40
"ID111","ID083",0,NA,"no data","N",1,12,8,45
"ID083","ID111",0,NA,"no data","N",1,12,8,45
"ID083","ID177",0.0235264665270397,0,"unrelated","N",8,13,8,45
"ID177","ID083",0.0235264665270397,0,"unrelated","N",8,13,8,45
"ID083","ID123",0.0548177866174709,0,"unrelated","N",9,13,8,78
"ID123","ID083",0.0548177866174709,0,"unrelated","N",9,13,8,78
"ID083","ID005",0.0190989741613563,0,"unrelated","N",5,13,8,50
"ID005","ID083",0.0190989741613563,0,"unrelated","N",5,13,8,50
"ID034","ID083",0.2301626732011,0.0275,"unrelated","N",2,13,8,68
"ID083","ID034",0.2301626732011,0.0275,"unrelated","N",2,13,8,68
"ID148","ID083",0.0244271646186783,0,"unrelated","N",5,10,NA,50
"ID083","ID148",0.0244271646186783,0,"unrelated","N",5,10,NA,50
"ID169","ID083",0.0383072896538072,0,"unrelated","N",0,13,8,66
"ID083","ID169",0.0383072896538072,0,"unrelated","N",0,13,8,66
"ID032","ID083",0.303028592764364,NA,"no data","N",11,4,-1,16
"ID083","ID032",0.303028592764364,NA,"no data","N",11,4,-1,16
"ID143","ID083",0.00615778832870125,0,"unrelated","N",4,13,8,48
"ID083","ID143",0.00615778832870125,0,"unrelated","N",4,13,8,48
"ID096","ID083",0,0.0097,"unrelated","N",10,13,8,44
"ID083","ID096",0,0.0097,"unrelated","N",10,13,8,44
"ID083","ID052",0.187986494005991,0,"unrelated","N",7,13,8,76
"ID052","ID083",0.187986494005991,0,"unrelated","N",7,13,8,76
"ID083","ID070",0.490211067438678,0.0352,"unrelated","N",6,7,2,33
"ID070","ID083",0.490211067438678,0.0352,"unrelated","N",6,7,2,33
"ID007","ID083",0.01004987303648,NA,"no data","N",3,13,8,43
"ID083","ID007",0.01004987303648,NA,"no data","N",3,13,8,43
"ID047","ID083",0.597505706467558,0.0232,"unrelated","N",8,7,NA,41
"ID083","ID047",0.597505706467558,0.0232,"unrelated","N",8,7,NA,41
"ID083","ID093",0.0709184292933345,0,"unrelated","N",12,13,8,60
"ID093","ID083",0.0709184292933345,0,"unrelated","N",12,13,8,60
"ID067","ID083",0.0389441515284741,NA,"no data","N",3,11,5,46
"ID083","ID067",0.0389441515284741,NA,"no data","N",3,11,5,46
"ID083","ID151",0.0673505698496118,0.0055,"unrelated","N",9,5,NA,52
"ID151","ID083",0.0673505698496118,0.0055,"unrelated","N",9,5,NA,52
"ID083","ID159",0.255519557210951,0.0086,"unrelated","N",15,13,8,112
"ID159","ID083",0.255519557210951,0.0086,"unrelated","N",15,13,8,112
"ID083","ID167",0.0409843644961676,NA,"no data","N",10,13,8,48
"ID167","ID083",0.0409843644961676,NA,"no data","N",10,13,8,48
"ID083","ID029",0.155085470555212,0.0088,"unrelated","N",2,13,8,151
"ID029","ID083",0.155085470555212,0.0088,"unrelated","N",2,13,8,151
"ID083","ID066",0.103503557208312,0.0078,"unrelated","N",8,13,8,55
