"Observation.ID","Date","Dolphin.ID","Age"
25793,2019-09-24,"ID024",38
17874,2011-06-12,"ID130",27
17874,2011-06-12,"ID114",17
17874,2011-06-12,"ID117",32
22348,2017-07-07,"ID008",20
22348,2017-07-07,"ID117",38
25849,2019-08-02,"ID059",8
19778,2014-07-05,"ID153",7
19778,2014-07-05,"ID105",17
19778,2014-07-05,"ID130",30
19778,2014-07-05,"ID132",39
19778,2014-07-05,"ID020",22
19778,2014-07-05,"ID062",4
20655,2015-06-15,"ID064",12
20778,2015-06-28,"ID064",12
20778,2015-06-28,"ID153",8
20778,2015-06-28,"ID132",39
20778,2015-06-28,"ID162",7
20778,2015-06-28,"ID020",23
19163,2013-09-19,"ID061",7
25794,2019-09-24,"ID123",27
20056,2014-10-16,"ID132",39
25514,2019-05-28,"ID171",17
17655,2010-09-19,"ID137",16
17741,2010-10-17,"ID040",10
19923,2014-09-09,"ID130",30
21844,2016-08-25,"ID051",27
18007,2011-09-11,"ID159",25
25848,2019-08-02,"ID004",7
16588,2008-06-29,"ID137",14
17947,2011-07-12,"ID027",41
16433,2007-07-18,"ID028",34
17061,2009-07-29,"ID105",12
17061,2009-07-29,"ID020",17
17061,2009-07-29,"ID063",33
17061,2009-07-29,"ID117",30
17061,2009-07-29,"ID017",7
17927,2011-06-29,"ID063",35
18820,2013-06-12,"ID063",37
18820,2013-06-12,"ID114",19
19827,2014-07-13,"ID064",11
19827,2014-07-13,"ID018",13
19827,2014-07-13,"ID171",12
19827,2014-07-13,"ID114",20
19827,2014-07-13,"ID117",35
19827,2014-07-13,"ID049",14
17777,2010-11-01,"ID032",20
17777,2010-11-01,"ID135",10
18359,2012-07-05,"ID038",31
18359,2012-07-05,"ID172",33
18359,2012-07-05,"ID071",38
18621,2012-09-30,"ID127",6
17194,2009-09-27,"ID161",37
25175,2018-08-08,"ID142",9
25983,2019-10-09,"ID142",10
25983,2019-10-09,"ID002",22
25983,2019-10-09,"ID031",9
25983,2019-10-09,"ID160",32
25983,2019-10-09,"ID062",10
18019,2011-09-13,"ID087",13
18019,2011-09-13,"ID049",11
19283,2013-10-18,"ID144",28
19683,2014-06-26,"ID153",7
19683,2014-06-26,"ID063",38
19683,2014-06-26,"ID137",20
20904,2015-07-22,"ID149",6
20904,2015-07-22,"ID066",22
20904,2015-07-22,"ID099",28
20904,2015-07-22,"ID141",21
20904,2015-07-22,"ID053",15
21002,2015-08-14,"ID147",24
20582,2015-06-10,"ID027",45
21686,2016-06-11,"ID064",13
21686,2016-06-11,"ID153",9
21686,2016-06-11,"ID105",18
21686,2016-06-11,"ID020",24
26173,2019-07-07,"ID061",13
22316,2017-06-29,"ID008",20
20776,2015-06-28,"ID110",10
22450,2017-10-01,"ID105",20
22450,2017-10-01,"ID063",41
22450,2017-10-01,"ID008",20
18308,2012-06-24,"ID171",10
18308,2012-06-24,"ID130",28
18308,2012-06-24,"ID114",18
18479,2012-08-04,"ID123",20
18479,2012-08-04,"ID099",25
18394,2012-07-08,"ID132",37
19340,2013-10-26,"ID143",16
19922,2014-09-09,"ID057",28
20918,2015-07-27,"ID147",24
16587,2008-06-29,"ID114",14
16938,2009-07-03,"ID086",6
16938,2009-07-03,"ID105",12
16938,2009-07-03,"ID130",25
16938,2009-07-03,"ID164",20
16938,2009-07-03,"ID137",15
16938,2009-07-03,"ID150",11
16938,2009-07-03,"ID057",23
17012,2009-07-14,"ID105",12
